A3	Mass percent Fe	Mass percent Si	Mass percent Al	Mass percent Mn	Temperature [°C]	Mass percent C
836.40579	99.80000	0.00000	0.00000	0.00000	800.00000	0.20000
827.63752	99.50000	0.00000	0.00000	0.30000	800.00000	0.20000
819.13497	99.20000	0.00000	0.00000	0.60000	800.00000	0.20000
810.88512	98.90000	0.00000	0.00000	0.90000	800.00000	0.20000
802.87610	98.60000	0.00000	0.00000	1.20000	800.00000	0.20000
795.09709	98.30000	0.00000	0.00000	1.50000	800.00000	0.20000
787.53821	98.00000	0.00000	0.00000	1.80000	800.00000	0.20000
780.19040	97.70000	0.00000	0.00000	2.10000	800.00000	0.20000
773.04546	97.40000	0.00000	0.00000	2.40000	800.00000	0.20000
766.09566	97.10000	0.00000	0.00000	2.70000	800.00000	0.20000
759.33398	96.80000	0.00000	0.00000	3.00000	800.00000	0.20000
873.90418	99.50000	0.00000	0.30000	0.00000	800.00000	0.20000
864.24579	99.20000	0.00000	0.30000	0.30000	800.00000	0.20000
854.88895	98.90000	0.00000	0.30000	0.60000	800.00000	0.20000
845.81732	98.60000	0.00000	0.30000	0.90000	800.00000	0.20000
837.01611	98.30000	0.00000	0.30000	1.20000	800.00000	0.20000
828.47194	98.00000	0.00000	0.30000	1.50000	800.00000	0.20000
820.17263	97.70000	0.00000	0.30000	1.80000	800.00000	0.20000
812.10707	97.40000	0.00000	0.30000	2.10000	800.00000	0.20000
804.26517	97.10000	0.00000	0.30000	2.40000	800.00000	0.20000
796.63760	96.80000	0.00000	0.30000	2.70000	800.00000	0.20000
789.21579	96.50000	0.00000	0.30000	3.00000	800.00000	0.20000
909.92297	99.20000	0.00000	0.60000	0.00000	800.00000	0.20000
899.17088	98.90000	0.00000	0.60000	0.30000	800.00000	0.20000
888.77314	98.60000	0.00000	0.60000	0.60000	800.00000	0.20000
878.70814	98.30000	0.00000	0.60000	0.90000	800.00000	0.20000
868.95663	98.00000	0.00000	0.60000	1.20000	800.00000	0.20000
859.50130	97.70000	0.00000	0.60000	1.50000	800.00000	0.20000
850.32657	97.40000	0.00000	0.60000	1.80000	800.00000	0.20000
841.41832	97.10000	0.00000	0.60000	2.10000	800.00000	0.20000
832.76375	96.80000	0.00000	0.60000	2.40000	800.00000	0.20000
824.35130	96.50000	0.00000	0.60000	2.70000	800.00000	0.20000
816.17019	96.20000	0.00000	0.60000	3.00000	800.00000	0.20000
947.31184	98.90000	0.00000	0.90000	0.00000	800.00000	0.20000
935.18704	98.60000	0.00000	0.90000	0.30000	800.00000	0.20000
923.50083	98.30000	0.00000	0.90000	0.60000	800.00000	0.20000
912.22171	98.00000	0.00000	0.90000	0.90000	800.00000	0.20000
901.32217	97.70000	0.00000	0.90000	1.20000	800.00000	0.20000
890.77800	97.40000	0.00000	0.90000	1.50000	800.00000	0.20000
880.56774	97.10000	0.00000	0.90000	1.80000	800.00000	0.20000
870.67223	96.80000	0.00000	0.90000	2.10000	800.00000	0.20000
861.07429	96.50000	0.00000	0.90000	2.40000	800.00000	0.20000
851.75846	96.20000	0.00000	0.90000	2.70000	800.00000	0.20000
842.71080	95.90000	0.00000	0.90000	3.00000	800.00000	0.20000
988.73020	98.60000	0.00000	1.20000	0.00000	800.00000	0.20000
974.70801	98.30000	0.00000	1.20000	0.30000	800.00000	0.20000
961.28333	98.00000	0.00000	1.20000	0.60000	800.00000	0.20000
948.40038	97.70000	0.00000	1.20000	0.90000	800.00000	0.20000
936.01261	97.40000	0.00000	1.20000	1.20000	800.00000	0.20000
924.08056	97.10000	0.00000	1.20000	1.50000	800.00000	0.20000
912.57036	96.80000	0.00000	1.20000	1.80000	800.00000	0.20000
901.45265	96.50000	0.00000	1.20000	2.10000	800.00000	0.20000
890.70172	96.20000	0.00000	1.20000	2.40000	800.00000	0.20000
880.29489	95.90000	0.00000	1.20000	2.70000	800.00000	0.20000
870.21206	95.60000	0.00000	1.20000	3.00000	800.00000	0.20000
1038.91834	98.30000	0.00000	1.50000	0.00000	800.00000	0.20000
1021.70392	98.00000	0.00000	1.50000	0.30000	800.00000	0.20000
1005.50196	97.70000	0.00000	1.50000	0.60000	800.00000	0.20000
990.16467	97.40000	0.00000	1.50000	0.90000	800.00000	0.20000
975.58070	97.10000	0.00000	1.50000	1.20000	800.00000	0.20000
961.66339	96.80000	0.00000	1.50000	1.50000	800.00000	0.20000
948.34341	96.50000	0.00000	1.50000	1.80000	800.00000	0.20000
935.56418	96.20000	0.00000	1.50000	2.10000	800.00000	0.20000
923.27859	95.90000	0.00000	1.50000	2.40000	800.00000	0.20000
911.44689	95.60000	0.00000	1.50000	2.70000	800.00000	0.20000
900.03494	95.30000	0.00000	1.50000	3.00000	800.00000	0.20000
