A3,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [°C]
836.40579,99.8,0,0,0,800
827.63752,99.5,0,0,0.3,800
819.13497,99.2,0,0,0.6,800
810.88512,98.9,0,0,0.9,800
802.8761,98.6,0,0,1.2,800
795.09709,98.3,0,0,1.5,800
787.53821,98,0,0,1.8,800
780.1904,97.7,0,0,2.1,800
773.04546,97.4,0,0,2.4,800
766.09566,97.1,0,0,2.7,800
759.33398,96.8,0,0,3,800
873.90418,99.5,0,0.3,0,800
864.24579,99.2,0,0.3,0.3,800
854.88895,98.9,0,0.3,0.6,800
845.81732,98.6,0,0.3,0.9,800
837.01611,98.3,0,0.3,1.2,800
828.47194,98,0,0.3,1.5,800
820.17263,97.7,0,0.3,1.8,800
812.10707,97.4,0,0.3,2.1,800
804.26517,97.1,0,0.3,2.4,800
796.6376,96.8,0,0.3,2.7,800
789.21579,96.5,0,0.3,3,800
909.92297,99.2,0,0.6,0,800
899.17088,98.9,0,0.6,0.3,800
888.77314,98.6,0,0.6,0.6,800
878.70814,98.3,0,0.6,0.9,800
868.95663,98,0,0.6,1.2,800
859.5013,97.7,0,0.6,1.5,800
850.32657,97.4,0,0.6,1.8,800
841.41832,97.1,0,0.6,2.1,800
832.76375,96.8,0,0.6,2.4,800
824.3513,96.5,0,0.6,2.7,800
816.17019,96.2,0,0.6,3,800
947.31184,98.9,0,0.9,0,800
935.18704,98.6,0,0.9,0.3,800
923.50083,98.3,0,0.9,0.6,800
912.22171,98,0,0.9,0.9,800
901.32217,97.7,0,0.9,1.2,800
890.778,97.4,0,0.9,1.5,800
880.56774,97.1,0,0.9,1.8,800
870.67223,96.8,0,0.9,2.1,800
861.07429,96.5,0,0.9,2.4,800
851.75846,96.2,0,0.9,2.7,800
842.7108,95.9,0,0.9,3,800
988.7302,98.6,0,1.2,0,800
974.70801,98.3,0,1.2,0.3,800
961.28333,98,0,1.2,0.6,800
948.40038,97.7,0,1.2,0.9,800
936.01261,97.4,0,1.2,1.2,800
924.08056,97.1,0,1.2,1.5,800
912.57036,96.8,0,1.2,1.8,800
901.45265,96.5,0,1.2,2.1,800
890.70172,96.2,0,1.2,2.4,800
880.29489,95.9,0,1.2,2.7,800
870.21206,95.6,0,1.2,3,800
1038.91834,98.3,0,1.5,0,800
1021.70392,98,0,1.5,0.3,800
1005.50196,97.7,0,1.5,0.6,800
990.16467,97.4,0,1.5,0.9,800
975.5807,97.1,0,1.5,1.2,800
