Relaxed condition: Temperature,Mass percent Fe,Mass percent Si,Mass percent Al,Mass percent Mn,Temperature [K],Mass percent C
1109.55579,99.8,0,0,0,1373.15,0.2
1100.78752,99.5,0,0,0.3,1373.15,0.2
1092.28497,99.2,0,0,0.6,1373.15,0.2
1786.12826,98.9,0,0,0.9,1373.15,0.2
1787.93821,98.6,0,0,1.2,1373.15,0.2
1789.62984,98.3,0,0,1.5,1373.15,0.2
1791.21044,98,0,0,1.8,1373.15,0.2
1792.68667,97.7,0,0,2.1,1373.15,0.2
1794.0646,97.4,0,0,2.4,1373.15,0.2
1795.3498,97.1,0,0,2.7,1373.15,0.2
1796.54742,96.8,0,0,3,1373.15,0.2
1147.05418,99.5,0,0.3,0,1373.15,0.2
1137.39579,99.2,0,0.3,0.3,1373.15,0.2
1128.03895,98.9,0,0.3,0.6,1373.15,0.2
1118.96732,98.6,0,0.3,0.9,1373.15,0.2
1110.16611,98.3,0,0.3,1.2,1373.15,0.2
1101.62194,98,0,0.3,1.5,1373.15,0.2
1093.32263,97.7,0,0.3,1.8,1373.15,0.2
1779.13055,97.4,0,0.3,2.1,1373.15,0.2
1780.42165,97.1,0,0.3,2.4,1373.15,0.2
1781.61568,96.8,0,0.3,2.7,1373.15,0.2
1782.71855,96.5,0,0.3,3,1373.15,0.2
1183.07297,99.2,0,0.6,0,1373.15,0.2
1172.32088,98.9,0,0.6,0.3,1373.15,0.2
1161.92314,98.6,0,0.6,0.6,1373.15,0.2
1151.85814,98.3,0,0.6,0.9,1373.15,0.2
1142.10663,98,0,0.6,1.2,1373.15,0.2
1132.6513,97.7,0,0.6,1.5,1373.15,0.2
1123.47657,97.4,0,0.6,1.8,1373.15,0.2
1114.56832,97.1,0,0.6,2.1,1373.15,0.2
1105.91375,96.8,0,0.6,2.4,1373.15,0.2
1097.5013,96.5,0,0.6,2.7,1373.15,0.2
1765.04074,96.2,0,0.6,3,1373.15,0.2
1220.46184,98.9,0,0.9,0,1373.15,0.2
1208.33704,98.6,0,0.9,0.3,1373.15,0.2
1196.65083,98.3,0,0.9,0.6,1373.15,0.2
1185.37171,98,0,0.9,0.9,1373.15,0.2
1174.47217,97.7,0,0.9,1.2,1373.15,0.2
1163.928,97.4,0,0.9,1.5,1373.15,0.2
1153.71774,97.1,0,0.9,1.8,1373.15,0.2
